shop_name,id,closest_mrt,distance_to_mrt
CoCo,ChIJbX0eSdWrQjQR-foP0iR41d8,大安森林公園站出口5,229.41145367479163
紅茶巴士 Black Tea Bus - 士林夜市站/飲料店/珍珠奶茶,ChIJb0gXFG-vQjQRdOJc3S7ecjw,士林站出口2,278.50129262953743
山焙 SUNBAY - 新莊幸福＿烘焙萃取製茶所,ChIJL-kyCiCpQjQRybM41zovjBI,幸福站出口1,963.0809849268437
伍佰之家,ChIJS_bR3wSsQjQRaXNm1sFxaTs,大直站出口1,285.7827696841763
珍茶道 Just Boba,ChIJZYcsepKvQjQRor-9HkNGXac,劍潭站出口1,174.6013411403029
TRUEDAN Daan Fuxing Shop,ChIJoU8LZdOrQjQRNIPBVzezw34,大安站出口5,50.7988990714541
T.TEA | 新鮮現萃茶飲,ChIJgxsWuwarQjQRgZEcrB4yNnc,昆陽站出口2,1323.3361045145125
鶴茶樓- 鶴頂紅茶商店 五股凌雲店,ChIJ-dqzlZSvQjQRNDU5pxLLl68,蘆洲站出口3,1779.9040066785544
沐荼寺淡海店-臺灣精品茶飲專門Mutucha,ChIJK80tq-u7QjQR9DGlS8FQSCI,淡水站出口1,3153.736726626356
清心福全蘆洲得勝店-珍珠奶茶手搖飲料專賣店,ChIJDYsYEcmoQjQR7lbWz8G7uRg,三民高中站出口1,265.9150607357234
Milksha Taipei Nanchang,ChIJGc5APZmpQjQRoYNBYF43Re8,中正紀念堂站出口2,189.57345034072443
TEA TOP第一味 板橋民權店,ChIJm8b0gc-pQjQRvCBJMfzx1lQ,板橋站出口2,288.39547915945093
Cow Banana政大店,ChIJub_JlHuqQjQRGibeqXx6cwI,木柵站出口,1163.4064858083962
WooTEA Taipei Raohe,ChIJ4cWDzcerQjQRLFcOAksnS9Q,松山站出口5,74.95726240408503
毒水製茶｜珍珠奶茶｜手搖飲料專賣店,ChIJITYe7xSpQjQRw8qofIvIluE,菜寮站出口2,717.7487491543261
